history:WM3423_BJ_LTA_REF/LTA_DISCHRG_PSIG
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:26 PM CT

Timestamp,Trend Flags,Status,Value (psi)
"2019-十月-9 06:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 06:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 06:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 06:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 06:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 07:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 07:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 07:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 07:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 07:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 07:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 08:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 08:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 08:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 08:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 08:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 08:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 09:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 09:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 09:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 09:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 09:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 09:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 10:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 10:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 10:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 10:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 10:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 10:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 11:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 11:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 11:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 11:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 11:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 11:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 12:00:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 12:10:00 PM CT","{ }","{ok}","217.9 psi"
"2019-十月-9 12:20:00 PM CT","{ }","{ok}","202.7 psi"
"2019-十月-9 12:30:00 PM CT","{ }","{ok}","219.8 psi"
"2019-十月-9 12:40:00 PM CT","{ }","{ok}","221.3 psi"
"2019-十月-9 12:50:00 PM CT","{ }","{ok}","220.8 psi"
"2019-十月-9 13:00:00 PM CT","{ }","{ok}","217.4 psi"
"2019-十月-9 13:10:00 PM CT","{ }","{ok}","201.3 psi"
"2019-十月-9 13:20:00 PM CT","{ }","{ok}","201.3 psi"
"2019-十月-9 13:30:00 PM CT","{ }","{ok}","222.8 psi"
"2019-十月-9 13:40:00 PM CT","{ }","{ok}","208.6 psi"
"2019-十月-9 13:50:00 PM CT","{ }","{ok}","211.5 psi"
"2019-十月-9 14:00:00 PM CT","{ }","{ok}","209.1 psi"
"2019-十月-9 14:10:00 PM CT","{ }","{ok}","189.6 psi"
"2019-十月-9 14:20:00 PM CT","{ }","{ok}","215.9 psi"
