Timestamp,B TEMP_Value (°F),Predict,Lower,Upper
2019-10-10 00:00:00,-14.5,,,
2019-10-10 00:10:00,-13.0,,,
2019-10-10 00:20:00,-13.5,,,
2019-10-10 00:30:00,-6.5,,,
2019-10-10 00:40:00,-14.0,,,
2019-10-10 00:50:00,-17.5,,,
2019-10-10 01:00:00,-17.0,,,
2019-10-10 01:10:00,-13.5,,,
2019-10-10 01:20:00,-16.5,,,
2019-10-10 01:30:00,-17.0,,,
2019-10-10 01:40:00,-14.0,,,
2019-10-10 01:50:00,-6.5,,,
2019-10-10 02:00:00,-13.5,,,
2019-10-10 02:10:00,23.0,,,
2019-10-10 02:20:00,45.0,,,
2019-10-10 02:30:00,58.0,,,
2019-10-10 02:40:00,9.5,,,
2019-10-10 02:50:00,-4.5,,,
2019-10-10 03:00:00,-8.5,,,
2019-10-10 03:10:00,-11.5,,,
2019-10-10 03:20:00,-11.0,,,
2019-10-10 03:30:00,-14.5,,,
2019-10-10 03:40:00,-8.0,,,
2019-10-10 03:50:00,-14.5,,,
2019-10-10 04:00:00,-10.0,,,
2019-10-10 04:10:00,-15.5,,,
2019-10-10 04:20:00,-12.0,,,
2019-10-10 04:30:00,-12.0,,,
2019-10-10 04:40:00,-15.0,,,
2019-10-10 04:50:00,-10.5,,,
2019-10-10 05:00:00,-16.5,,,
2019-10-10 05:10:00,-13.0,,,
2019-10-10 05:20:00,-14.0,,,
2019-10-10 05:30:00,-12.5,,,
2019-10-10 05:40:00,-10.5,,,
2019-10-10 05:50:00,-13.0,,,
2019-10-10 06:00:00,-6.5,,,
2019-10-10 06:10:00,-13.5,,,
2019-10-10 06:20:00,-7.0,,,
2019-10-10 06:30:00,-14.5,,,
2019-10-10 06:40:00,-10.5,,,
2019-10-10 06:50:00,-14.0,,,
2019-10-10 07:00:00,-13.5,,,
2019-10-10 07:10:00,-7.0,,,
2019-10-10 07:20:00,-13.0,,,
2019-10-10 07:30:00,-6.5,,,
2019-10-10 07:40:00,-17.0,,,
2019-10-10 07:50:00,-13.0,,,
2019-10-10 08:00:00,-6.0,,,
2019-10-10 08:10:00,24.0,,,
2019-10-10 08:20:00,45.5,,,
2019-10-10 08:30:00,58.0,,,
2019-10-10 08:40:00,10.0,,,
2019-10-10 08:50:00,-4.0,,,
2019-10-10 09:00:00,-6.5,,,
2019-10-10 09:10:00,-9.5,,,
2019-10-10 09:20:00,-10.0,,,
2019-10-10 09:30:00,-10.0,,,
2019-10-10 09:40:00,-11.0,,,
2019-10-10 09:50:00,-14.5,,,
2019-10-10 10:00:00,-13.0,,,
2019-10-10 10:10:00,-9.0,,,
2019-10-10 10:20:00,-12.5,,,
2019-10-10 10:30:00,-14.5,,,
2019-10-10 10:40:00,-6.5,,,
2019-10-10 10:50:00,-12.0,,,
2019-10-10 11:00:00,-13.5,,,
2019-10-10 11:10:00,-15.5,,,
2019-10-10 11:20:00,-11.0,,,
2019-10-10 11:30:00,-16.0,,,
2019-10-10 11:40:00,-13.5,,,
2019-10-10 11:50:00,-13.0,,,
2019-10-10 12:00:00,-10.0,,,
2019-10-10 12:10:00,-13.5,,,
2019-10-10 12:20:00,-15.0,,,
2019-10-10 12:30:00,-15.0,,,
2019-10-10 12:40:00,-12.5,,,
2019-10-10 12:50:00,-15.5,,,
2019-10-10 13:00:00,-12.5,,,
2019-10-10 13:10:00,-7.0,,,
2019-10-10 13:20:00,-12.0,,,
2019-10-10 13:30:00,-16.0,,,
2019-10-10 13:40:00,-12.5,,,
2019-10-10 13:50:00,-15.0,,,
2019-10-10 14:00:00,-7.0,,,
2019-10-10 14:10:00,22.5,,,
2019-10-10 14:20:00,43.5,,,
2019-10-10 14:30:00,55.0,,,
