Timestamp,A TEMP_Status,A TEMP_Trend Flags,A TEMP_Value (°„F),B TEMP_Status,B TEMP_Trend Flags,B TEMP_Value (°„F),C TEMP_Status,C TEMP_Trend Flags,C TEMP_Value (°„F),DEFROST_Status,DEFROST_Trend Flags,DEFROST_Value,DISCHRG_PSIG_Status,DISCHRG_PSIG_Trend Flags,DISCHRG_PSIG_Value (psi),SUCTION_PSIG_Status,SUCTION_PSIG_Trend Flags,SUCTION_PSIG_Value (psi),refrigeration_Status,refrigeration_Trend Flags,refrigeration_Value
2019-10-08 22:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 22:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 22:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 22:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 23:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 23:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 23:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 23:30:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 23:40:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-08 23:50:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 00:00:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 00:10:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
2019-10-09 00:20:00,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,"{fault,down,stale}",{ },-40.0,,,,"{fault,down,stale}",{ },-100.0,"{fault,down,stale}",{ },-25.0,,,
